Challenge,Trivialname,InChI,InChIkey,Formula,PubChem CID,ChemSpID,ION_MODE,PRECURSOR_MZ
Challenge11,Theophylline,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)",ZFXYFBGIUFBOJW-UHFFFAOYSA-N,C7H8N4O2,2153,2068,,
Challenge12,N(6)-carboxymethyllysine,"InChI=1S/C8H16N2O4/c9-6(8(13)14)3-1-2-4-10-5-7(11)12/h6,10H,1-5,9H2,(H,11,12)(H,13,14)/t6-/m0/s1",NUXSIDPKKIEIMI-LURJTMIESA-N,C8H16N2O4,123800,110350,,
Challenge13,Prostaglandin D2,"InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,15-18,21-22H,2-3,5-6,8-11,14H2,1H3,(H,24,25)/b7-4-,13-12+/t15-,16+,17+,18-/m0/s1",BHMBVRSPMRCCGG-OUTUXVNYSA-N,C20H32O5,448457,395250,,
Challenge14,3-carboxysalsolinol,"InChI=1S/C11H13NO4/c1-5-7-4-10(14)9(13)3-6(7)2-8(12-5)11(15)16/h3-5,8,12-14H,2H2,1H3,(H,15,16)",DMJYNLHZLIZUQE-UHFFFAOYSA-N,C11H13NO4,162692,142834,,
Challenge15,"1,2,3,4-tetrahydroharmane-3-carboxylic acid","InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)",ZUPHXNBLQCSEIA-UHFFFAOYSA-N,C13H14N2O2,73530,66213,,
Challenge16,N(2) Succinyl arginine,"InChI=1S/C10H18N4O5/c11-10(12)13-5-1-2-6(9(18)19)14-7(15)3-4-8(16)17/h6H,1-5H2,(H,14,15)(H,16,17)(H,18,19)(H4,11,12,13)/t6-/m0/s1",UMOXFSXIFQOWTD-LURJTMIESA-N,C10H18N4O5,439968,388993,,
Challenge17,Spirobrassinin,"InChI=1S/C11H10N2OS2/c1-15-10-12-6-11(16-10)7-4-2-3-5-8(7)13-9(11)14/h2-5H,6H2,1H3,(H,13,14)/t11-/m1/s1",FUHQSEOSBHASCH-LLVKDONJSA-N,C11H10N2OS2,188830,164095,,
Challenge18,Dipyrithione,InChI=1S/C10H8N2O2S2/c13-11-7-3-1-5-9(11)15-16-10-6-2-4-8-12(10)14/h1-8H,ZHDBTKPXEJDTTQ-UHFFFAOYSA-N,C10H8N2O2S2,3109,2998,,
Challenge19,Senkirkine,"InChI=1S/C19H27NO6/c1-5-13-10-12(2)19(3,24)18(23)25-11-14-6-8-20(4)9-7-15(16(14)21)26-17(13)22/h5-6,12,15,24H,7-11H2,1-4H3/b13-5+,14-6-/t12-,15?,19-/m1/s1",HPDHKHMHQGCNPE-PYWIAZMFSA-N,C19H27NO6,6433332,10254880,,
Challenge20,Kanzonol W,"InChI=1S/C20H16O5/c1-20(2)8-7-14-17(25-20)6-3-11-9-15(19(23)24-18(11)14)13-5-4-12(21)10-16(13)22/h3-10,21-22H,1-2H3",VFIXONREXXFDQV-UHFFFAOYSA-N,C20H16O5,15380912,24643673,,
Challenge21,Cepharatine A,"InChI=1S/C18H19NO4/c1-19-8-7-17-10-18(19,22)14(20)9-12(17)5-3-11-4-6-13(23-2)16(21)15(11)17/h3-6,9,21-22H,7-8,10H2,1-2H3/t17-,18+/m1/s1",KDYWOWVAVXEYRU-MSOLQXFVSA-N,C18H19NO4,51041521,26233553,,
Challenge22,Maackianin,"InChI=1S/C16H12O5/c17-8-1-2-9-12(3-8)18-6-11-10-4-14-15(20-7-19-14)5-13(10)21-16(9)11/h1-5,11,16-17H,6-7H2/t11-,16-/m0/s1",HUKSJTUUSUGIDC-ZBEGNZNMSA-N,C16H12O5,363863,82631,,
Challenge23,Streptozocin,"InChI=1S/C8H15N3O7/c1-11(10-17)8(16)9-4-6(14)5(13)3(2-12)18-7(4)15/h3-7,12-15H,2H2,1H3,(H,9,16)/t3-,4-,5-,6-,7+/m1/s1",ZSJLQEPLLKMAKR-GKHCUFPYSA-N,C8H15N3O7,29327,27273,,
Challenge24,Gentamicin,"InChI=1S/C21H43N5O7/c1-9(25-3)13-6-5-10(22)19(31-13)32-16-11(23)7-12(24)17(14(16)27)33-20-15(28)18(26-4)21(2,29)8-30-20/h9-20,25-29H,5-8,22-24H2,1-4H3",CEAZRRDELHUEMR-UHFFFAOYSA-N,C21H43N5O7,3467,3348,,
Challenge25,Fusidic acid,"InChI=1S/C31H48O6/c1-17(2)9-8-10-20(28(35)36)26-22-15-24(34)27-29(5)13-12-23(33)18(3)21(29)11-14-30(27,6)31(22,7)16-25(26)37-19(4)32/h9,18,21-25,27,33-34H,8,10-16H2,1-7H3,(H,35,36)/b26-20-/t18-,21-,22-,23+,24+,25-,27-,29-,30-,31-/m0/s1",IECPWNUMDGFDKC-MZJAQBGESA-N,C31H48O6,3000226,2271900,,
Challenge26,Paeoniflorin,"InChI=1S/C23H28O11/c1-20-9-22(29)13-7-23(20,32-18-16(27)15(26)14(25)12(8-24)31-18)21(13,19(33-20)34-22)10-30-17(28)11-5-3-2-4-6-11/h2-6,12-16,18-19,24-27,29H,7-10H2,1H3/t12-,13-,14-,15+,16-,18+,19-,20+,21+,22-,23+/m1/s1",YKRGDOXKVOZESV-WRJNSLSBSA-N,C23H28O11,442534,390957,,
Challenge27,Andrographolide,"InChI=1S/C20H30O5/c1-12-4-7-16-19(2,9-8-17(23)20(16,3)11-21)14(12)6-5-13-15(22)10-25-18(13)24/h5,14-17,21-23H,1,4,6-11H2,2-3H3/b13-5+/t14-,15-,16+,17-,19+,20+/m1/s1",BOJKULTULYSRAS-OTESTREVSA-N,C20H30O5,5318517,16735664,,
Challenge28,Isoxanthoflavan-3-ol,"InChI=1S/C21H22O6/c1-11(2)4-9-14-15(23)10-16(26-3)17-18(24)19(25)20(27-21(14)17)12-5-7-13(22)8-6-12/h4-8,10,19-20,22-23,25H,9H2,1-3H3",CTUJEHJOZXGIIE-UHFFFAOYSA-N,C21H22O6,14104288,,,
Challenge29,Californidine,"InChI=1S/C21H22NO3.ClH/c1-22(2)18-6-13-7-20-21(25-11-24-20)8-17(13)19(22)5-12-3-14-9-23-10-15(14)4-16(12)18;/h3-4,7-8,18-19H,5-6,9-11H2,1-2H3;1H/q+1;/p-1/t18-,19-;/m0./s1",GLCGPUDWOPXBAY-HLRBRJAUSA-M,C20H20NO4+,45266443,28941458,,
Challenge30,"2α, 3α-dihydroxyurs-12-en-28-oic acid (corosolic acid)","InChI=1S/C30H48O4/c1-17-10-13-30(25(33)34)15-14-28(6)19(23(30)18(17)2)8-9-22-27(5)16-20(31)24(32)26(3,4)21(27)11-12-29(22,28)7/h8,17-18,20-24,31-32H,9-16H2,1-7H3,(H,33,34)/t17-,18+,20-,21?,22?,23?,24-,27+,28-,29-,30+/m1/s1",HFGSQOYIOKBQOW-FCPFUEDDSA-N,C30H48O4,21363056,9830556,,
Challenge31,peonidin,"InChI=1S/C16H12O6/c1-21-15-4-8(2-3-11(15)18)16-13(20)7-10-12(19)5-9(17)6-14(10)22-16/h2-7H,1H3,(H3-,17,18,19,20)/p+1",XFDQJKDGGOEYPI-UHFFFAOYSA-O,C16H13O6+,441773,390370,,
Challenge32,Ibuprofen,"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)",HEFNNWSXXWATRW-UHFFFAOYSA-N,C13H18O2,3672,3544,,
Challenge33,Celecoxib,"InChI=1S/C17H14F3N3O2S/c1-11-2-4-12(5-3-11)15-10-16(17(18,19)20)22-23(15)13-6-8-14(9-7-13)26(21,24)25/h2-10H,1H3,(H2,21,24,25)",RZEKVGVHFLEQIL-UHFFFAOYSA-N,C17H14F3N3O2S,2662,2562,,
Challenge34,Erlotinib,"InChI=1S/C22H23N3O4/c1-4-16-6-5-7-17(12-16)25-22-18-13-20(28-10-8-26-2)21(29-11-9-27-3)14-19(18)23-15-24-22/h1,5-7,12-15H,8-11H2,2-3H3,(H,23,24,25)",AAKJLRGGTJKAMG-UHFFFAOYSA-N,C22H23N3O4,176870,154044,,
Challenge35,Hydroxy benzyl malonic acid,"InChI=1S/C10H10O5/c11-7-3-1-6(2-4-7)5-8(9(12)13)10(14)15/h1-4,8,11H,5H2,(H,12,13)(H,14,15)",JXJNPXPDKYRHJT-UHFFFAOYSA-N,C10H10O5,17840182,,,
Challenge36,Tris(cyanoethyl)phosphine oxide,"InChI=1S/C9H12N3OP/c10-4-1-7-14(13,8-2-5-11)9-3-6-12/h1-3,7-9H2",ILFYYSUCZQEGOL-UHFFFAOYSA-N,C9H12N3OP,74039,66658,,
Challenge37,Melphalan,"InChI=1S/C13H18Cl2N2O2/c14-5-7-17(8-6-15)11-3-1-10(2-4-11)9-12(16)13(18)19/h1-4,12H,5-9,16H2,(H,18,19)/t12-/m0/s1",SGDBTWWWUNNDEQ-LBPRGKRZSA-N,C13H18Cl2N2O2,460612,405297,,
Challenge38,Nafoxidine,"InChI=1S/C29H31NO2/c1-31-26-14-16-28-24(21-26)11-15-27(22-7-3-2-4-8-22)29(28)23-9-12-25(13-10-23)32-20-19-30-17-5-6-18-30/h2-4,7-10,12-14,16,21H,5-6,11,15,17-20H2,1H3",JEYWNNAZDLFBFF-UHFFFAOYSA-N,C29H31NO2,4416,4263,,
Challenge39,Methiothepin,"InChI=1S/C20H24N2S2/c1-21-9-11-22(12-10-21)18-13-15-5-3-4-6-19(15)24-20-8-7-16(23-2)14-17(18)20/h3-8,14,18H,9-13H2,1-2H3",RLJFTICUTYVZDG-UHFFFAOYSA-N,C20H24N2S2,4106,3963,,
Challenge40,Bisphenol A,"InChI=1S/C15H16O2/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12/h3-10,16-17H,1-2H3",IISBACLAFKSPIT-UHFFFAOYSA-N,C15H16O2,6623,6371,,
Challenge41,Brodifacoum,"InChI=1S/C31H23BrO3/c32-24-15-13-20(14-16-24)19-9-11-21(12-10-19)23-17-22-5-1-2-6-25(22)27(18-23)29-30(33)26-7-3-4-8-28(26)35-31(29)34/h1-16,23,27,33H,17-18H2",VEUZZDOCACZPRY-UHFFFAOYSA-N,C31H23BrO3,54680676,10444663,,
Challenge42,Phenylbutazone,"InChI=1S/C19H20N2O2/c1-2-3-14-17-18(22)20(15-10-6-4-7-11-15)21(19(17)23)16-12-8-5-9-13-16/h4-13,17H,2-3,14H2,1H3",VYMDGNCVAMGZFE-UHFFFAOYSA-N,C19H20N2O2,4781,4617,,
