Compound Number,File,RT [min],Precursor m/z (Da),Priority/Bonus,Adduct,InChIKey,SMILES
280,A_M15_negPFP_03,5.5,791.4223,Bonus,[M+FA-H]-,QTRIRAUZWBJZCA-LADYGZEBSA-N,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4C=CC6=C7C(C8(CCC7(CCC65C)C(=O)O8)C)(C)O)C)C)O)O)O)O)O
281,A_M11_posPFP_01,4.65,275.1278,Bonus,[M+H]+,AXCJOIQUPCZRLS-UHFFFAOYSA-N,COC1=C(C=C(C(=C1)CCC2=CC(=CC=C2)O)O)OC
282,A_M15_posPFP_01,4.98,384.2381,Bonus,[M+H]+,CCUGMZLHJFWECW-UHFFFAOYSA-N,CCCCC(CC=CCC=CCCCC(=O)NC(CCC(=O)O)C(=O)O)O
283,A_M12_posPFP_01,0.55,773.2135,Bonus,[M+H]+,CGTJNKQXMHSGFN-IUFBPARZSA-N,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=C(OC4=CC(=CC(=C4C3=O)O)OC5C(C(C(C(O5)CO)O)O)O)C6=CC(=C(C=C6)O)O)CO)O)O)O)O)O
284,A_M17_posPFP_01,6.05,487.3418,Bonus,[M+H]+,IQAAHGZZGBMTBN-UHFFFAOYSA-N,CC1CC2C(C(OC3(C1C4(CCC56CC57CCC(=O)C(C7CCC6C4(C3O)C)(C)C)C)O2)(C)C)O
285,A_M20_posPFP_01,4.31,227.1179,Bonus,[M+H]+,QQQXZACTFUGYLB-UHFFFAOYSA-N,CCC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
286,A_M1_posPFP_02,6.2,391.1516,Bonus,[M+Na]+,OQHQALGVQDTJDN-UHFFFAOYSA-N,CC(=CCCC(=CCOC1=C2C=COC2=C(C3=C1C=CC(=O)O3)OC)C)C
287,A_M8_posPFP_02,5.92,343.2244,Bonus,[M+Na]+,USXGDFAHMRCBBX-UHFFFAOYSA-N,CC(=CCCC(=CCCC(=CCCC(=CCO)C)C)C(=O)O)C
288,A_M1_posPFP_01,5.93,1178.5225,Bonus,[M+NH4]+,ZMPVBRFIWNEARM-FCYBPOFXSA-N,CC=C(C)C(=O)OCC1C(C(C(C(O1)OC2C(C(C(C(O2)COC(=O)C(=CC)C)O)O)OC3C(C(C(C(O3)CO)OC(=O)C(=CC)C)OC(=O)C(=CC)C)O)OC4C(C(C(C(O4)CO)OC(=O)CC(C)C)OC(=O)C(=CC)C)O)O)O
289,A_M4_negPFP_03,3.83,529.2807,Bonus,[M-H]-,LCIUOVOXWPIXOR-LMRBZDFLSA-N,CC(CC(=O)CC(C)C(=O)O)C1CC(=O)C2(C1(C(C(=O)C3=C2C(CC4C3(CCC(=O)C4(C)C)C)O)O)C)C
290,A_M22_negPFP_03,4.67,295.1551,Bonus,[M-H]-,WKFXEXJTYHWXLU-INIZCTEOSA-N,CC(=CCCC(=CCCC(C)(C=CC(=O)O)O)C(=O)O)C
291,E_M28_posPFP_01,6.38,277.1335,Bonus,[M+H]+,JBTHDAVBDKKSRW-FMQUCBEESA-N,CC1=CC(=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O)C
292,A_M15_negPFP_03,4.69,1133.5385,Bonus,[M+FA-H]-,OKFRAIRVSPMCCP-GAKNCEQWSA-N,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC(C6=C7C(C8(CCC7(CCC65C)C(=O)O8)C)(C)O)O)C)C)O)OC9C(C(C(C(O9)CO)O)O)OC1C(C(C(C(O1)CO)O)O)O)O)O)O
293,A_M13_posPFP_01,5.82,235.1693,Bonus,[M+H]+,AEQDXSFIHGWHDV-RNKJKDHYSA-N,CC1CCCC2C1(CC3=C(C(=O)OC3C2)C)C
294,A_M11_posPFP_01,3.96,311.1489,Bonus,[M+H]+,NKZPOJBFXMXUED-LBPRGKRZSA-N,CC1=C(C=C(OC1=O)C=CCCCCC(CC(=O)O)O)OC
295,A_M17_posPFP_01,5.21,516.2592,Bonus,[M+H]+,PFSIWOQTKVCWEC-UHFFFAOYSA-N,CC1CCC2C(C(CCC2(C13CC4=C(C=C5CN(C(=O)C5=C4O3)C(CCC(=O)O)C(=O)O)O)C)O)(C)C
296,A_M20_posPFP_01,5.4,287.055,Bonus,[M+H]+,YBQTVIMCHXORHO-UHFFFAOYSA-N,COC(=O)C1=C2C(=CC(=C1)O)OC3=CC=CC(=C3C2=O)O
297,A_M8_posPFP_02,3.58,557.1993,Bonus,[M+Na]+,AEMJDNJKSCBKRL-UHFFFAOYSA-N,COC1=C(C=C(C=C1)CC2C(COC2=O)CC3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC)OC
298,A_M2_posPFP_02,1.59,321.1309,Bonus,[M+Na]+,CYAWKJKAMCXLET-UHFFFAOYSA-N,CC(CCCC(C)(C1=C(C=C(C=C1)C(=O)O)O)O)(CO)O
299,A_M1_posPFP_01,0.48,394.1708,Bonus,[M+NH4]+,GGUPBNDFNVHEBP-PANSSLBXSA-N,CCC1=C(C(COC1=O)C(=O)O)CCOC2C(C(C(C(O2)CO)O)O)O
300,A_M15_posPFP_01,3.48,478.3163,Bonus,[M+NH4]+,SRCUJKNQZOLYMY-UHFFFAOYSA-N,CC1(C(CCC2(C1CC(C3=C2C(=O)CC4(C3(C(CC4C5(CCC(=O)O5)C)O)C)C)O)C)O)C
301,A_M4_negPFP_03,0.63,901.2619,Bonus,[M-H]-,UKLPMOHKLUPGON-LJNAWGQTSA-N,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)C)O)O)O)C7=CC=C(C=C7)O)O)O)O)O)O)O
302,A_M13_negPFP_03,2.43,509.1301,Bonus,[M-H]-,VZZORQCDLWXFQF-HQBFLTFPSA-N,COC1=CC(=CC(=C1O)OC)C(=O)OCC2C(C(C(C(O2)OC3=C(C=C(C=C3)C(=O)O)OC)O)O)O
303,E_M28_posPFP_01,5.35,293.1648,Bonus,[M+H]+,WVVXBPKOIZGVNS-UHFFFAOYSA-N,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3
304,A_M16_negPFP_03,4.47,999.4806,Bonus,[M+FA-H]-,JVLBOZIUMGNKQW-PFEIDDDNSA-N,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(C4C6CC7C8C(C6(CC5)C)(CCC(C8(C(CC(=O)O7)O)C)C(=C)C)C)C(=C)C)O)O)O)CO)O)O)O
305,A_M4_negPFP_03,5.12,1249.6223,Bonus,[M+FA-H]-,QMTVSBYGSSFPPX-XQDZFCBSSA-N,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(=O)C34CCC(CC3C5=CCC6C7(CCC(C(C7CCC6(C5(CC4)C)C)(C)C)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)OC1C(C(C(C(O1)C)O)O)O)C)(C)C)CO)O)O)O
306,A_M15_posPFP_01,5.87,485.3262,Bonus,[M+H]+,BYCBJBLIOKGBPB-BIYNXQDYSA-N,CC(=C)C1CCC2(C1C3CC4C5C(C3(CC2)C)(CCC(C5(C(CC(=O)O4)O)C)C(=C)C)C)C(=O)O
307,A_M13_posPFP_01,2.99,266.1023,Bonus,[M+H]+,GNZBDHIIHNEXIT-UHFFFAOYSA-N,C1=CC=C(C(=C1)C(=O)O)NC(=O)CCCCC(=O)O
308,A_M2_posPFP_01,5.56,317.2111,Bonus,[M+H]+,GPFVBJYXFRIOFB-UHFFFAOYSA-N,CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2O)(C)C(=O)O)C
309,A_M9_posPFP_01,4.89,273.1121,Bonus,[M+H]+,IAJIIJBMBCZPSW-BDAKNGLRSA-N,CC1CC2=C(C(O1)C)C(=O)C3=C(C2=O)C=CC=C3OC
310,A_M18_posPFP_01,2.64,226.1438,Bonus,[M+H]+,WWRKWRLCWQCCHU-UHFFFAOYSA-N,C(CC=CCC=CCCC(=O)N)CC(=O)O
311,A_M11_posPFP_01,6.08,343.1904,Bonus,[M+H]+,XIQRWECUXAGJNR-UHFFFAOYSA-N,CCC(C)C=CC=CC(=O)OC1C=CC2=CC(=O)C(=CC2(C1C)C)O
312,A_M20_posPFP_02,4.06,392.2044,Bonus,[M+Na]+,GHHWUZRWIRAIRD-UHFFFAOYSA-N,CCCC(CC=CCC=CCCCC(=O)NC(CCC(=O)O)C(=O)O)O
313,A_M1_posPFP_02,2.03,553.2255,Bonus,[M+Na]+,JQZXPIPFYNVPHJ-GPFYMJNESA-N,CC1=CC(=O)CC(C1(C=CC(C)OC2C(C(C(C(O2)COC(=O)CC(C)(CC(=O)O)O)O)O)O)O)(C)C
314,A_M13_negPFP_03,2.65,541.1352,Bonus,[M-H]-,HQQSMUBDNVIUPF-DGCJFVAGSA-N,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)OC3C(C(C(C(O3)COC(=O)C4=CC(=C(C(=C4)O)O)O)O)O)O
315,E_M28_posPFP_01,6.74,352.2383,Bonus,[M+H]+,ZMWRRFHBXARRRT-UHFFFAOYSA-N,CCC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)CC
316,A_M18_posPFP_01,5.59,273.206,Bonus,[M+H]+,BYJHCUIKVIAEAC-UHFFFAOYSA-N,CC(C)CCCCCCC(C1CC(OC1=O)CO)O
317,A_M11_posPFP_01,5.52,413.1595,Bonus,[M+H]+,GHBZHAWROFXWAR-NZQKXSOJSA-N,CC(=CCC1=C(C=CC2=C1OC3COC4=CC(=C(C=C4C3(C2=O)O)OC)OC)O)C
318,A_M20_posPFP_01,5.92,387.1802,Bonus,[M+H]+,PDDXWOMYBJCSQB-UHFFFAOYSA-N,CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4CC1C)OC)OC)OC)O)OCO3
319,A_M2_posPFP_01,2.79,903.2554,Bonus,[M+H]+,UDSPVVBVMAWQTL-KHXVSDPLSA-N,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=C(OC4=CC(=CC(=C4C3=O)O)OC5C(C(C(C(O5)CO)O)O)OC(=O)C=CC6=CC=C(C=C6)O)C7=CC=C(C=C7)O)CO)O)O)O)O)O
320,A_M13_posPFP_01,5.94,275.1642,Bonus,[M+H]+,WFNXTYLZRVHCCW-UHFFFAOYSA-N,CC=CC=CCCCCC=CC1=CC(=C(C(=O)O1)C)O
321,A_M9_posPFP_02,5.61,365.0996,Bonus,[M+Na]+,DDGJUTBQQURRGE-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3OC)OC)OC
322,A_M15_posPFP_01,2.83,532.3116,Bonus,[M+NH4]+,AOOZOANZHYOTDM-UHFFFAOYSA-N,CC1(CCC2C(C1)CC(=O)OC3C2(CC(CC3)(C)C(=O)O)C)CCOC4C(C(C(C(O4)CO)O)O)O
323,A_M1_posPFP_01,6.03,554.2748,Bonus,[M+NH4]+,HVQJVSACIKTWQR-RYXVVOBLSA-N,CC1C(C(OC1C2=CC(=C(C=C2)OC)OC)C3=CC(=C(C=C3)OC(C)C(C4=CC5=C(C=C4)OCO5)O)OC)C
324,A_M6_negPFP_03,5.37,489.3222,Bonus,[M-H]-,COTTWHFDYUNZOT-UHFFFAOYSA-N,CC(C)C(=C)CC(C(C)C(=O)CCC1C2=C(CCC1(C)O)C3(CCC(C(C3CC2)C(=O)O)O)C)O
325,A_M16_negPFP_03,5.37,1641.7178,Bonus,[M-H]-,UAEZPQXQAIYKCX-UKLCWAQSSA-N,CC1C(C(C(C(O1)OC2C(OC(C(C2O)OC3C(C(C(C(O3)C)OC4C(C(C(CO4)O)OC5C(C(C(CO5)O)O)O)O)O)O)OC(=O)C67CCC(CC6C8=CCC9C1(CCC(C(C1CCC9(C8(CC7)C)C)(C)C=O)OC1C(C(C(C(O1)C(=O)O)O)OC1C(C(C(CO1)O)O)O)OC1C(C(C(C(O1)CO)O)O)O)C)(C)C)C)O)O)O
326,A_M13_negPFP_03,5.21,1073.5538,Bonus,[M-H]-,UDJCPBQDHIOJEZ-RJDNMXFMSA-N,CC1C(C(C(C(O1)OC2CCC3(C4CCC5=C(C4(CCC3C2(C)C)C)CCC6(C5CC(CC6)(C)C)C(=O)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)O)O)O)O)C)O)O)OC9C(C(C(C(O9)CO)O)O)O
327,E_M28_posPFP_01,0.23,380.1551,Bonus,[M+NH4]+,LHDWRKICQLTVDL-CLLMHHLUSA-N,C1=COC(C2C1C(C3C2(O3)CO)O)OC4C(C(C(C(O4)CO)O)O)O
328,A_M6_negPFP_03,5.27,953.4752,Bonus,[M+FA-H]-,ROLIIKCIEQNTMT-RLASXNLOSA-N,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4C=CC6=C7C(C8(CCC7(CCC65C)C(=O)O8)C)(C)O)C)C)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O
329,A_M3_posPFP_01,5.6,371.1489,Bonus,[M+H]+,AWOGQCSIVCQXBT-UGCQDJOBSA-N,COC1=C(C=C(C=C1)C2C3COC(C3CO2)C4=CC5=C(C=C4)OCO5)OC
330,A_M9_posPFP_01,4.53,377.1595,Bonus,[M+H]+,GFMYIOGFYYHKLA-MSOLQXFVSA-N,CC=C(C)C(=O)OC(C(C1=C(C=C2C(=C1)C=CC(=O)O2)OC)O)C(C)(C)O
331,A_M18_posPFP_01,3.25,281.1384,Bonus,[M+H]+,NJQQRUULYCFGOY-UHFFFAOYSA-N,CC1CCC=C(C1(C)CC2=C(COC2=O)CO)C(=O)O
332,A_M1_posPFP_01,2.31,903.2554,Bonus,[M+H]+,NYZUREUOQAHPFZ-QWCCAIKUSA-N,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=C(OC4=CC(=CC(=C4C3=O)O)OC5C(C(C(C(O5)COC(=O)C=CC6=CC=C(C=C6)O)O)O)O)C7=CC=C(C=C7)O)CO)O)O)O)O)O
333,A_M15_posPFP_01,5.53,659.3062,Bonus,[M+H]+,WRDRGEUZCODXHY-UHFFFAOYSA-N,CC(CC(=O)CC(C)C(=O)O)C1CC(=O)C2(C1(C(C(=O)C3=C2C(=O)CC4C3(CCC(C4(C)C)OC(=O)CC(=O)O)C)OC(=O)C)C)C
334,A_M11_posPFP_01,3.83,417.2483,Bonus,[M+H]+,ZADCROHMCBYQOL-KSFZEVTFSA-N,CC(CCC=C(C)CCC1CC(=O)OC1(C)C)OC2C(C(C(C(O2)CO)O)O)O
335,A_M13_posPFP_02,5.53,345.24,Bonus,[M+Na]+,CCXYKDOOFDMCGS-GLAVUTQJSA-N,CC(=CCCC(=CCCC(=CCC(C(=CCO)C)O)C)CO)C
336,A_M20_posPFP_01,5.89,436.233,Bonus,[M+NH4]+,FLBWVIKFCMUTDS-SZNDQCEHSA-N,CC=CC1=CC(=C(C(=C1)OC)OC(C)C(C2=CC(=C(C(=C2)OC)OC)OC)O)OC
337,A_M13_negPFP_03,4.3,1381.6282,Bonus,[M-H]-,OEEQFNDQHVCCFW-JBRULZQPSA-N,CC1C(C(C(C(O1)OC2C(C(COC2OC(=O)C34CCC(CC3C5=CCC6C(C5(CC4O)C)(CCC7C6(CC(C(C7(C)CO)OC8C(C(C(C(O8)CO)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)C)C)(C)C)O)O)O)OC1C(C(C(CO1)O)O)O)OC(=O)CC(C)(CC(=O)O)O
338,A_M17_negPFP_03,0.94,223.0976,Bonus,[M-H]-,VWNBIHJYLBWFKS-UHFFFAOYSA-N,CC(C(CC1C2=C(CO1)C(=CC=C2)O)O)O
339,E_M28_posPFP_01,6.01,369.1333,Bonus,[M+H]+,TUUXBSASAQJECY-UHFFFAOYSA-N,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(=C(O2)C3=CC=C(C=C3)OC)O)C
340,A_M8_negPFP_03,4.43,1341.5969,Bonus,[M+FA-H]-,SHDCOAGAKQAHTD-VONUOISVSA-N,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)O)C)C)C2C1)C)C(=O)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)OC1C(C(C(C(O1)CO)O)O)O)O)C
341,A_M13_posPFP_01,2.99,379.2479,Bonus,[M+H]+,LUNSNRWUCHZPDQ-UHFFFAOYSA-N,CC(=CCO)CCC1C(=C)CCC2C1(C(CCC2(C)C(=O)O)OC(=O)C)C
342,A_M16_posPFP_01,0.99,223.0601,Bonus,[M+H]+,SWBWWNMIUNNZJC-UHFFFAOYSA-N,COC(=O)C(=C)OC1=CC=CC(=C1)C(=O)O
343,A_M2_posPFP_02,1.82,209.0784,Bonus,[M+Na]+,PPVPALXLGVOWHV-UHFFFAOYSA-N,C(CCC(=O)O)CC=CCC(=O)O
344,A_M11_posPFP_02,0.47,475.1786,Bonus,[M+Na]+,STSAPANRGPUFDY-VAVSPWHYSA-N,CC(C1CC(=O)OC1(C)C)OC2C(C(C(C(O2)COC3C(C(CO3)(CO)O)O)O)O)O
345,A_M18_posPFP_02,0.38,338.121,Bonus,[M+Na]+,XUADVCPTUKSFOK-BKZLMLJWSA-N,C1CC(=CC#N)C(CC1O)OC2C(C(C(C(O2)CO)O)O)O
346,A_M9_posPFP_01,5.29,668.4368,Bonus,[M+NH4]+,CJHYKSSBQRABTM-WTTBAFRVSA-N,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)C
347,A_M20_posPFP_01,5.89,506.384,Bonus,[M+NH4]+,KZGFHCNCJXEGAD-JAVVREIBSA-N,CC1CC2C(C(OC3(C1C4(CCC56CC57CCC(C(C7CCC6C4(C3O)C)(C)C)O)C)O2)(C)C)O
348,A_M3_posPFP_01,4.8,504.1631,Bonus,[M+NH4]+,PGNVHGFFGWMRSN-XGGIRRNYSA-N,CC(=O)OC1C(C2C(C3C(O3)(CCC=C1C(=O)OC)C)OC(=O)C2=C)OC(=O)C(C)(CCl)O
349,A_M17_negPFP_03,4.16,279.1238,Bonus,[M-H]-,MRKJHJBMSPPNKC-UHFFFAOYSA-N,CC1(CC2C(C1)C(CC3=C(C2O)C(=O)OC3=O)(C)O)C
350,A_M14_negPFP_03,2.12,345.1344,Bonus,[M-H]-,PKORXOLYTWDULG-RDTXWAMCSA-N,COC1=C(C=CC(=C1)C2C(C3=C(O2)C(=CC(=C3)CCCO)O)CO)O
351,E_M28_negPFP_03,0.33,291.0634,Bonus,[M+FA-H]- ,UIYWFOZZIZEEKJ-XVFCMESISA-N,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F
352,E_M28_posPFP_01,5.55,383.1788,Bonus,[M+H]+,PWVXXGRKLHYWKM-LJQANCHMSA-N,CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4
353,A_M14_negPFP_03,3.42,1119.5593,Bonus,[M+FA-H]-,KDGYEAWBQIDEFT-LUFHAGIYSA-N,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)CO)C(=O)OC8C(C(C(C(O8)COC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)O)O)O)O)O
354,A_M10_negPFP_03,4.99,1363.6176,Bonus,[M+FA-H]-,MCPFEAJYKIXPQF-FJXGNUQDSA-N,CC1C2C(C(C(O1)OC3C(C(COC3OC(=O)C45CCC(CC4C6=CCC7C(C6(CC5)C)(CCC8C7(CC(C(C8(C)CO)OC9C(C(C(C(O9)CO)O)O)OC1C(C(C(CO1)OC(=O)CC(CC(=O)O2)(C)O)O)O)O)C)C)(C)C)O)O)O)OC1C(C(C(CO1)O)O)O
355,A_M17_negPFP_03,5.54,795.4536,Bonus,[M+FA-H]-,VXRNZMDDBZNPKJ-PPFLKOLASA-N,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(CO6)O)O)O)C)C)C2C1)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C
