,Challenge,InChIkey,PubChem CID,ChemSpider ID,InChI,SMILES,ION_MODE,PRECURSOR_MZ
11,challenge-011,UHJZITVWXGMYKV-SOFGYWHQSA-O,NA,NA,"InChI=1S/C15H21NO4/c1-16(2,3)9-10-20-15(18)8-6-12-5-7-14(19-4)13(17)11-12/h5-8,11H,9-10H2,1-4H3/p+1/b8-6+","C[N+](C)(C)CCOC(=O)/C=C/c1ccc(c(c1)O)OC	",POSITIVE,280.2
12,challenge-012,MKYLOMHWHWEFCT-WUCCLRPBSA-N,NA,NA,"InChI=1S/C17H19NO4/c1-20-15-4-11-12-7-18(13(11)5-14(15)19)6-9-2-16-17(3-10(9)12)22-8-21-16/h2-4,12-15,19H,5-8H2,1H3/t12?,13?,14-,15-/m0/s1","CO[C@H]1C=C2C3CN(Cc4cc5c(cc34)OCO5)C2C[C@@H]1O	",POSITIVE,302.1
13,challenge-013,ZZAJQOPSWWVMBI-UHFFFAOYSA-N,5280448,4444104,"InChI=1S/C16H12O5/c1-20-14-5-2-9(6-13(14)18)12-8-21-15-7-10(17)3-4-11(15)16(12)19/h2-8,17-18H,1H3","COc1ccc(cc1O)c1coc2cc(ccc2c1=O)O	",POSITIVE,285.1
14,challenge-014,RGNXWPVNPFAADO-NSIKDUERSA-N,5281295,4444681,"InChI=1S/C15H10O5/c16-9-2-3-10-13(7-9)20-14(15(10)19)6-8-1-4-11(17)12(18)5-8/h1-7,16-18H/b14-6-","c1cc(c(cc1/C=C\1/C(=O)c2ccc(cc2O1)O)O)O	",NEGATIVE,269
15,challenge-015,OBWHQJYOOCRPST-UHFFFAOYSA-N,5281611,4444930,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)15-14(19)13(18)11-6-5-10(17)7-12(11)20-15/h1-7,16-17,19H","c1cc(ccc1c1c(c(=O)c2ccc(cc2o1)O)O)O	",NEGATIVE,269
16,challenge-016,CTUJEHJOZXGIIE-UHFFFAOYSA-N,14104288,NA,"InChI=1S/C21H22O6/c1-11(2)4-9-14-15(23)10-16(26-3)17-18(24)19(25)20(27-21(14)17)12-5-7-13(22)8-6-12/h4-8,10,19-20,22-23,25H,9H2,1-3H3","CC(=CCc1c(cc(c2C(=O)C(C(c3ccc(cc3)O)Oc12)O)OC)O)C	",POSITIVE,371.2
17,challenge-017,UDGKKUWYNITJRX-UHFFFAOYSA-N,442342,390795,"InChI=1S/C15H14O4/c16-11-4-1-10(2-5-11)3-8-14(18)13-7-6-12(17)9-15(13)19/h1-2,4-7,9,16-17,19H,3,8H2","c1cc(ccc1CCC(=O)c1ccc(cc1O)O)O	",NEGATIVE,257.1
18,challenge-018,OLRXRLGFFNYRIM-QOAKVELXSA-N,11036345,9211519,"InChI=1S/C24H30O4/c1-15(2)8-6-9-16(3)10-7-13-24(5)17(4)21-22(28-24)19-12-11-18(25)14-20(19)27-23(21)26/h8,10-12,14,17,25H,6-7,9,13H2,1-5H3/b16-10+/t17-,24+/m0/s1","CC(=CCC/C(=C/CC[C@]1(C)[C@@H](C)c2c(c3ccc(cc3oc2=O)O)O1)/C)C	",POSITIVE,383.2
19,challenge-019,BMFMQGXDDJALKQ-UHFFFAOYSA-N,239955,209618,"InChI=1S/C6H13N3O3/c7-6(8)9-3-1-2-4(10)5(11)12/h4,10H,1-3H2,(H,11,12)(H4,7,8,9)","C(CC(C(=O)O)O)CNC(=N)N	",POSITIVE,176.1
20,challenge-020,LJIDRFNRDLYHNC-UHFFFAOYSA-N,21574476,10182421,"InChI=1S/C12H13NO3/c14-10-5-7-3-4-13-9(1-2-12(13)16)8(7)6-11(10)15/h5-6,9,14-15H,1-4H2","C1CC(=O)N2CCc3cc(c(cc3C12)O)O	",POSITIVE,220.1
21,challenge-021,XQOAEAAPVIEAEK-UHFFFAOYNA-N,NA,NA,"InChI=1/C13H16N2O/c1-8-12-11(16)4-3-10-13(12)9(7-14-10)5-6-15(8)2/h3-4,7-8,14,16H,5-6H2,1-2H3","CC1c2c(ccc3c2c(CCN1C)c[nH]3)O	",POSITIVE,217.1
22,challenge-022,VPAXJOUATWLOPR-UHFFFAOYNA-N,NA,NA,"InChI=1/C24H28O4/c1-15-5-9-20-23(2,3)21(25)11-12-24(20,4)18(15)14-27-17-8-6-16-7-10-22(26)28-19(16)13-17/h5-8,10,13,18,20H,9,11-12,14H2,1-4H3","CC1=CCC2C(C)(C)C(=O)CCC2(C)C1COc1ccc2ccc(=O)oc2c1	",POSITIVE,381.2
23,challenge-023,CLWOXNLVWMXBRD-QGZVFWFLSA-O,53266,48111,"InChI=1S/C19H23NO3/c1-20(2)9-8-14-11-19(23-3)18(22)12-16(14)17(20)10-13-4-6-15(21)7-5-13/h4-7,11-12,17H,8-10H2,1-3H3,(H-,21,22)/p+1/t17-/m1/s1","C[N+]1(C)CCc2cc(c(cc2[C@H]1Cc1ccc(cc1)O)O)OC	",POSITIVE,314.2
24,challenge-024,MBFUSGLXKQWVDW-UHFFFAOYNA-N,NA,NA,"InChI=1/C9H11NO2/c11-8-3-6-1-2-10-5-7(6)4-9(8)12/h3-4,10-12H,1-2,5H2","C1CNCc2cc(c(cc12)O)O	",POSITIVE,166.1
25,challenge-025,NDWAUKFSFFRGLF-UHFFFAOYNA-N,NA,NA,"InChI=1/C10H13N5O4/c11-8-7-9(13-3-12-8)15(10(18)14-7)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H,14,18)(H2,11,12,13)","C1C(C(CO)OC1n1c2c(c(N)ncn2)nc1O)O	",NEGATIVE,266.1
26,challenge-026,TUUXBSASAQJECY-UHFFFAOYSA-N,5318980,4477409,"InChI=1S/C21H20O6/c1-11(2)4-9-14-15(22)10-16(23)17-18(24)19(25)20(27-21(14)17)12-5-7-13(26-3)8-6-12/h4-8,10,22-23,25H,9H2,1-3H3","CC(=CCc1c(cc(c2c(=O)c(c(c3ccc(cc3)OC)oc12)O)O)O)C	",NEGATIVE,367.1
27,challenge-027,AAVMGRPGPSSZBQ-FOOXYVKASA-N,NA,NA,"InChI=1S/C18H27NO7/c1-10(2)13-15(21)26-12-5-7-19-6-4-11(14(12)19)8-25-16(22)18(24,9-20)17(13,3)23/h4,10,12-14,20,23-24H,5-9H2,1-3H3/t12-,13+,14-,17-,18+/m1/s1","CC(C)[C@H]1C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@@](CO)([C@]1(C)O)O)[C@H]23	",POSITIVE,370.2
28,challenge-028,XGCIVVYTCDKDLC-UHFFFAOYSA-N,145879,128692,"InChI=1S/C12H12N2O2/c15-12(16)11-10-8(5-6-13-11)7-3-1-2-4-9(7)14-10/h1-4,11,13-14H,5-6H2,(H,15,16)","c1ccc2c(c1)c1CCNC(c1[nH]2)C(=O)O	",POSITIVE,217.1
29,challenge-029,NSEWTSAADLNHNH-LSBOWGMISA-N,124025,NA,"InChI=1S/C30H24O12/c31-13-7-20(37)24-22(8-13)41-30(12-2-4-16(33)19(36)6-12)29(39)26(24)25-23(42-30)10-17(34)14-9-21(38)27(40-28(14)25)11-1-3-15(32)18(35)5-11/h1-8,10,21,26-27,29,31-39H,9H2/t21-,26-,27-,29-,30+/m1/s1","c1cc(c(cc1[C@@H]1[C@@H](Cc2c(cc3c([C@H]4c5c(cc(cc5O[C@](c5ccc(c(c5)O)O)([C@@H]4O)O3)O)O)c2O1)O)O)O)O	",POSITIVE,577.1
30,challenge-030,AYHOUUNTAVCXBN-ZDUSSCGKSA-N,52945930,NA,"InChI=1S/C15H12O6/c16-8-1-7(2-9(17)3-8)13-6-12(20)15-11(19)4-10(18)5-14(15)21-13/h1-5,13,16-19H,6H2/t13-/m0/s1","c1c(cc(cc1O)O)[C@@H]1CC(=O)c2c(cc(cc2O1)O)O	",POSITIVE,289.1
31,challenge-031,OJXQLGQIDIPMTE-UHFFFAOYSA-N,5281633,4444952,"InChI=1S/C23H24O6/c1-11(2)5-7-13-19(26)14(8-6-12(3)4)22-18(20(13)27)21(28)17-15(24)9-10-16(25)23(17)29-22/h5-6,9-10,24-27H,7-8H2,1-4H3","CC(=CCc1c(c(CC=C(C)C)c2c(c1O)c(=O)c1c(ccc(c1o2)O)O)O)C	",NEGATIVE,395.1
32,challenge-032,SUYJZKRQHBQNCA-LSDHHAIUSA-N,73202,65962,"InChI=1S/C15H12O5/c16-9-6-10(17)12-11(7-9)20-15(14(19)13(12)18)8-4-2-1-3-5-8/h1-7,14-17,19H/t14-,15+/m0/s1","c1ccc(cc1)[C@@H]1[C@H](C(=O)c2c(cc(cc2O1)O)O)O	",POSITIVE,273.1
33,challenge-033,OXFCHVUTODNYNS-MMARFKMCNA-N,NA,NA,"InChI=1/C19H20O7/c1-17-15-12(26-16(17)22)4-9-10(5-11(20)8-2-3-24-14(8)9)18(15)6-13(21)19(17,23)25-7-18/h2-3,9-10,12-13,15,21,23H,4-7H2,1H3/t9-,10-,12-,13+,15?,17+,18+,19+/m1/s1","C[C@]12C3[C@@H](C[C@@H]4[C@@H](CC(=O)c5ccoc45)[C@]43C[C@@H]([C@]2(O)OC4)O)OC1=O	",POSITIVE,361.1
34,challenge-034,KGRQDFZHUBOWKM-PNMPORGGSA-N,NA,NA,"InChI=1S/C19H22O6/c1-17-15-13(25-16(17)21)6-10-11(3-2-9-12(20)7-23-14(9)10)18(15)4-5-19(17,22)24-8-18/h10-11,13,15,22H,2-8H2,1H3/t10?,11?,13-,15?,17+,18+,19-/m1/s1","C[C@]12C3[C@@H](CC4C(CCC5=C4OCC5=O)[C@]43CC[C@@]2(O)OC4)OC1=O	",POSITIVE,347.1
35,challenge-035,TURJFYBHQNTMCA-PUQWFUBYSA-N,NA,NA,"InChI=1S/C22H30O6/c1-7-12(2)19(24)28-22(6)15-10-11-21(5)16(26-14(4)23)9-8-13(3)17(21)18(15)27-20(22)25/h7-8,15-18H,9-11H2,1-6H3/b12-7-/t15-,16-,17+,18?,21-,22+/m1/s1","C/C=C(/C)\C(=O)O[C@@]1(C)[C@@H]2CC[C@]3(C)[C@@H](CC=C(C)[C@H]3C2OC1=O)OC(=O)C	",POSITIVE,391.2
36,challenge-036,UXYJCYXWJGAKQY-UHFFFAOYSA-N,6770,NA,"InChI=1S/C19H17NO4/c1-2-16-19(24-10-21-16)14-8-20-4-3-12-6-17-18(23-9-22-17)7-13(12)15(20)5-11(1)14/h1-2,6-7,15H,3-5,8-10H2","c1cc2c(c3CN4CCc5cc6c(cc5C4Cc13)OCO6)OCO2	",POSITIVE,324.1
37,challenge-037,CVWWNYPTZYQCSE-GANZUKCXSA-N,3037129,2300953,"InChI=1S/C24H30O5/c1-15(2)19-9-5-16(3)24(4,20(19)10-11-22(25)26)14-28-18-8-6-17-7-12-23(27)29-21(17)13-18/h6-8,12-13,16,20H,5,9-11,14H2,1-4H3,(H,25,26)/t16-,20+,24-/m0/s1","CC(=C1CC[C@H](C)[C@](C)(COc2ccc3ccc(=O)oc3c2)[C@@H]1CCC(=O)O)C	",POSITIVE,399.2
38,challenge-038,KAZSKMJFUPEHHW-DHZHZOJOSA-N,5318998,4477422,"InChI=1S/C21H22O4/c1-5-21(2,3)17-12-15(20(25-4)13-19(17)24)8-11-18(23)14-6-9-16(22)10-7-14/h5-13,22,24H,1H2,2-4H3/b11-8+","C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(cc2)O)c(cc1O)OC	",NEGATIVE,337.1
39,challenge-039,NLTOTZSPOYWSSP-UHFFFAOYSA-N,10064832,8240372,"InChI=1S/C20H20O4/c1-12(2)3-4-13-9-14(5-8-17(13)22)19-11-18(23)16-7-6-15(21)10-20(16)24-19/h3,5-10,19,21-22H,4,11H2,1-2H3","CC(=CCc1cc(ccc1O)C1CC(=O)c2ccc(cc2O1)O)C	",NEGATIVE,323.1
40,challenge-040,GMISZFQPFDAPGI-CVJZBMGUSA-N,124017,NA,"InChI=1S/C30H26O12/c31-13-7-19(36)24-23(8-13)42-30(12-2-4-16(33)18(35)6-12)28(40)26(24)25-20(37)10-22-14(27(25)39)9-21(38)29(41-22)11-1-3-15(32)17(34)5-11/h1-8,10,21,26,28-40H,9H2/t21-,26-,28-,29-,30-/m1/s1","c1cc(c(cc1[C@@H]1[C@@H](Cc2c(cc(c([C@H]3c4c(cc(cc4O[C@H](c4ccc(c(c4)O)O)[C@@H]3O)O)O)c2O)O)O1)O)O)O	",NEGATIVE,577.1
41,challenge-041,RFKQJTRWODZPHF-UHFFFAOYSA-N,34781,32006,"InChI=1S/C22H24NO4/c1-13-15-6-7-18(24-2)22(27-5)17(15)12-23-9-8-14-10-19(25-3)20(26-4)11-16(14)21(13)23/h6-7,10-12H,8-9H2,1-5H3/q+1","Cc1c2ccc(c(c2c[n+]2CCc3cc(c(cc3c12)OC)OC)OC)OC	",POSITIVE,366.2
42,challenge-042,HHYDHYFLWRDXDR-UHFFFAOYSA-N,NA,NA,"InChI=1S/C9H18N4O3/c1-6(14)13-7(8(15)16)4-2-3-5-12-9(10)11/h7H,2-5H2,1H3,(H,13,14)(H,15,16)(H4,10,11,12)","CC(=NC(CCCCNC(=N)N)C(=O)O)O	",POSITIVE,231.1
43,challenge-043,GAQDMHWCRNJIAM-UHFFFAOYSA-N,NA,NA,"InChI=1S/C18H18N2O2/c1-20-9-8-12-10-19-14-6-7-15(22)17(16(12)14)18(20)11-2-4-13(21)5-3-11/h2-7,10,18-19,21-22H,8-9H2,1H3","CN1CCc2c[nH]c3ccc(c(c23)C1c1ccc(cc1)O)O	",POSITIVE,295.1
44,challenge-044,NBTGSOZRJDICGG-UHFFFAOYSA-N,83137642,NA,"InChI=1S/C7H11N3O/c8-7-9-6(11)5-3-1-2-4-10(5)7/h5H,1-4H2,(H2,8,9,11)","C1CCN2C(C1)C(=NC2=N)O	",POSITIVE,154.1
45,challenge-045,FDAWAVAMGFJKMH-WQYXIULCSA-N,NA,NA,"InChI=1S/C22H27NO9/c1-30-16-7-11(18-12-8-14(26)13(25)6-10(12)4-5-23-18)2-3-15(16)31-22-21(29)20(28)19(27)17(9-24)32-22/h2-3,6-8,17-29H,4-5,9H2,1H3/t17?,18?,19-,20?,21+,22-/m1/s1","COc1cc(ccc1O[C@H]1[C@H](C([C@@H](C(CO)O1)O)O)O)C1c2cc(c(cc2CCN1)O)O	",POSITIVE,450.2
46,challenge-046,RNPABQVCNAUEIY-UHFFFAOYSA-N,409814,362684,"InChI=1S/C27H43NO8/c1-12-4-5-17-24(3,33)19-13(11-28(17)10-12)14-9-25-21(26(14,34)22(32)20(19)31)15(29)8-16-23(25,2)7-6-18(30)27(16,35)36-25/h12-22,29-35H,4-11H2,1-3H3/t12-,13-,14-,15+,16-,17-,18-,19+,20+,21+,22-,23-,24+,25+,26-,27-/m0/s1",C1[C@@H]([C@@]2([C@@H]3[C@](C1)([C@@]1([C@@H]([C@@H](C3)O)[C@]3([C@@H](C1)[C@H]1[C@H]([C@H]([C@@H]3O)O)[C@@]([C@H]3N(C1)C[C@H](CC3)C)(O)C)O)O2)C)O)O,NEGATIVE,508.2916
47,challenge-047,PSFMBXYUQFAGAM-QPJJXVBHSA-N,45783211,NA,"InChI=1S/C35H46O20/c1-14-24(42)28(46)32(55-34-29(47)27(45)25(43)21(12-36)52-34)35(51-14)54-31-26(44)22(13-50-23(41)7-4-15-2-5-17(37)19(39)10-15)53-33(30(31)48)49-9-8-16-3-6-18(38)20(40)11-16/h2-7,10-11,14,21-22,24-40,42-48H,8-9,12-13H2,1H3/b7-4+",C1(C(C(C(C(O1)OC1C(C(C(OC1OC1C(C(OC(C1O)OCCc1ccc(c(c1)O)O)COC(=O)/C=C/c1cc(c(cc1)O)O)O)C)O)O)O)O)O)CO,NEGATIVE,785.251
48,challenge-048,QDFJNOVWEADTGJ-UHFFFAOYSA-N,44257459,NA,"InChI=1S/C16H14O5/c1-19-12-5-4-10-15-11(7-20-16(10)14(12)18)9-3-2-8(17)6-13(9)21-15/h2-6,11,15,17-18H,7H2,1H3/t11-,15-/m0/s1",c1c(c(c2c(c1)[C@H]1[C@@H](CO2)c2c(O1)cc(cc2)O)O)OC,NEGATIVE,285.0768
49,challenge-049,GWVCYAYKRPLWGK-AAMZJHKISA-N,23872020,NA,"InChI=1S/C20H32O4/c1-16(2)7-4-11-19(20(23)24)12-6-9-17(3)8-5-10-18(15-22)13-14-21/h7-8,12-13,21-22H,4-6,9-11,14-15H2,1-3H3,(H,23,24)/b17-8+,18-13-,19-12+",CC(=CCC/C(=C\CC/C(=C/CC/C(=C/CO)/CO)/C)/C(=O)O)C,NEGATIVE,335.2228
50,challenge-050,LIVNOUBJFOXZOR-UHFFFAOYSA-N,22298424,20058524,"InChI=1S/C16H22O9/c1-23-9-4-2-8(3-5-12(18)19)10(6-9)24-16-15(22)14(21)13(20)11(7-17)25-16/h2,4,6,11,13-17,20-22H,3,5,7H2,1H3,(H,18,19)/t11-,13-,14+,15-,16-/m1/s1",O([C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO)c1cc(ccc1CCC(=O)O)OC,NEGATIVE,357.1191
51,challenge-051,LXAMCLNOVGHDMD-UHFFFAOYSA-N,23815373,NA,"InChI=1S/C47H74O16/c1-21-29(50)31(52)33(54)40(59-21)61-35-34(55)36(38(56)57)62-41(37(35)63-39-32(53)30(51)24(48)20-58-39)60-28-13-14-45(7)25(43(28,4)5)12-15-47(9)26(45)11-10-22-23-18-42(2,3)19-27(49)44(23,6)16-17-46(22,47)8/h10-11,21,24-37,39-41,48-55H,12-20H2,1-9H3,(H,56,57)",C1(C(C(C(C(O1)OC1C(C(OC(C1OC1C(C(C(CO1)O)O)O)OC1CCC2(C(C1(C)C)CCC1(C2C=CC2=C3C(CCC12C)(C(CC(C3)(C)C)O)C)C)C)C(=O)O)O)O)O)O)C,NEGATIVE,893.4904
52,challenge-052,JZEZLAAJRKPOFM-UHFFFAOYSA-N,60208889,NA,"InChI=1S/C21H30O4/c1-11(22)15-6-7-16-14-5-4-12-8-13(23)9-18(25)21(12,3)19(14)17(24)10-20(15,16)2/h4,6,13-14,16-19,23-25H,5,7-10H2,1-3H3",C1C(CC2=CCC3C(C2(C1O)C)C(CC1(C3CC=C1C(=O)C)C)O)O,NEGATIVE,345.2071
53,challenge-053,FFDULTAFAQRACT-UHFFFAOYSA-N,226371,NA,"InChI=1S/C34H46O18/c1-43-17-5-13(6-18(44-2)31(17)51-33-27(41)25(39)23(37)21(9-35)49-33)29-15-11-48-30(16(15)12-47-29)14-7-19(45-3)32(20(8-14)46-4)52-34-28(42)26(40)24(38)22(10-36)50-34/h5-8,15-16,21-30,33-42H,9-12H2,1-4H3/t15-,16-,21+,22+,23+,24+,25-,26-,27+,28+,29-,30-,33-,34-/m0/s1",O([C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO)c1c(cc([C@@H]2OC[C@H]3[C@@H]2CO[C@H]3c2cc(c(O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)CO)c(c2)OC)OC)cc1OC)OC,NEGATIVE,741.2611
54,challenge-054,WDMQLCVSWBENIY-UHFFFAOYSA-N,336014,297781,"InChI=1S/C21H30O13/c1-7-5-10(23)21(34-20-17(29)14(26)12(24)8(2)31-20)3-4-30-18(11(7)21)33-19-16(28)15(27)13(25)9(6-22)32-19/h3-5,8-9,11-20,22,24-29H,6H2,1-2H3/t8-,9+,11-,12-,13+,14+,15-,16+,17+,18-,19-,20-,21+/m0/s1",[C@@]12([C@H]([C@@H](OC=C1)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)C(=CC2=O)C)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O,NEGATIVE,489.1614
55,challenge-055,PKZLCDIEFSFXDK-UHFFFAOYSA-N,14585037,NA,"InChI=1S/C44H68O19/c1-19-39(63-41-38(53)36(51)34(49)29(62-41)18-57-40-37(52)35(50)33(48)28(16-45)61-40)26(55-5)14-31(58-19)60-23-8-10-42(3)22(13-23)6-7-25-24(42)9-11-43(4)32(21-12-30(47)56-17-21)27(59-20(2)46)15-44(25,43)54/h12,19,22-29,31-41,45,48-54H,6-11,13-18H2,1-5H3/t19-,22?,23+,24?,25?,26-,27+,28-,29-,31+,32+,33-,34-,35+,36+,37-,38-,39+,40-,41?,42+,43-,44?/m1/s1",C1[C@@H](CC2[C@](C1)(C1C(CC2)C2([C@](CC1)([C@H]([C@H](C2)OC(=O)C)C1=CC(=O)OC1)C)O)C)O[C@@H]1O[C@@H]([C@@H]([C@@H](C1)OC)OC1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)C,NEGATIVE,899.4282
56,challenge-056,JSXYBZIRJXMIMK-UHFFFAOYSA-N,57509504,NA,"InChI=1S/C20H30O4/c1-5-17(2)11-14(21)20(12-17)10-7-13-18(3,15(20)22)8-6-9-19(13,4)16(23)24/h5,13-14,21H,1,6-12H2,2-4H3,(H,23,24)",C1CC(C2C(C1)(C(=O)C1(CC2)C(CC(C1)(C)C=C)O)C)(C)C(=O)O,NEGATIVE,333.2071
57,challenge-057,IBIPGYWNOBGEMH-UHFFFAOYSA-N,233330,203427,"InChI=1S/C18H22O11/c1-6(20)25-4-7-2-9-12-8(16(24)27-9)5-26-17(11(7)12)29-18-15(23)14(22)13(21)10(3-19)28-18/h2,5,9-15,17-19,21-23H,3-4H2,1H3/t9-,10+,11+,12-,13+,14-,15+,17-,18-/m0/s1",[C@H]1(OC=C2[C@@H]3[C@H]1C(=C[C@@H]3OC2=O)COC(=O)C)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO,NEGATIVE,413.1089
58,challenge-058,VYQXIUVIYICVCM-UHFFFAOYSA-N,10466989,8642400,"InChI=1S/C15H16O3/c1-18-15-9-12(8-14(17)10-15)6-5-11-3-2-4-13(16)7-11/h2-4,7-10,16-17H,5-6H2,1H3",c1c(cc(cc1O)CCc1cccc(c1)O)OC,NEGATIVE,243.1027
59,challenge-059,IJRBORPEVKCEQD-UHFFFAOYSA-N,12312687,NA,"InChI=1S/C28H46O7/c1-15(24(2,3)33)11-23(32)27(6,34)22-8-10-28(35)17-12-19(29)18-13-20(30)21(31)14-25(18,4)16(17)7-9-26(22,28)5/h12,15-16,18,20-23,30-35H,7-11,13-14H2,1-6H3/t15-,16?,18+,20-,21+,22+,23-,25-,26-,27-,28-/m1/s1",[C@H]1([C@@H](C[C@@H]2[C@](C1)(C1C(=CC2=O)[C@]2([C@](CC1)([C@H](CC2)[C@](O)(C)[C@@H](C[C@H](C(C)(C)O)C)O)C)O)C)O)O,NEGATIVE,493.3171
60,challenge-060,UUZWMJQAEYBHAO-UHFFFAOYSA-N,13995409,NA,"InChI=1S/C15H22O4/c1-14(2)4-9-11(6-14)15(3,18)5-8-10(12(9)16)7-19-13(8)17/h9,11-12,16,18H,4-7H2,1-3H3",C12=C(C(=O)OC1)CC(C1C(C2O)CC(C1)(C)C)(C)O,NEGATIVE,265.1445
61,challenge-061,IHFBPDAQLQOCBX-UHFFFAOYSA-N,5281628,4444947,"InChI=1S/C16H12O6/c1-21-16-11(19)7-13-14(15(16)20)10(18)6-12(22-13)8-2-4-9(17)5-3-8/h2-7,17,19-20H,1H3",c1(c(c(c2c(c1)oc(cc2=O)c1ccc(cc1)O)O)OC)O,NEGATIVE,299.0561
62,challenge-062,PASZRDILCDRSOZ-UHFFFAOYSA-N,56776297,NA,"InChI=1S/C20H24O4/c1-24-20(13-7-16-4-10-18(22)11-5-16)14-19(23)12-6-15-2-8-17(21)9-3-15/h2-5,8-11,20-22H,6-7,12-14H2,1H3",c1c(ccc(c1)CCC(CC(=O)CCc1ccc(cc1)O)OC)O,NEGATIVE,327.1602
